"filename", "language", "PHP", "JSON", "Markdown", "CSS", "JavaScript", "XML", "HTML", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-mbstring\bootstrap80.php", "PHP", 131, 0, 0, 0, 0, 0, 0, 0, 8, 9, 148
"c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-mbstring\composer.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-php80\Php80.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 0, 15, 19, 116
"c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-php80\PhpToken.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 0, 31, 16, 104
"c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-php80\README.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-php80\Resources\stubs\Attribute.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 9, 5, 32
"c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-php80\Resources\stubs\PhpToken.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 8, 3, 17
"c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-php80\Resources\stubs\Stringable.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 11, 3, 21
"c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-php80\Resources\stubs\UnhandledMatchError.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 8, 3, 17
"c:\xampp\htdocs\CLAU\SITE\vendor\symfony\polyfill-php80\Resources\stubs\ValueError.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 8, 3, 17
